"Felgenhauer, Annette",2021,2
"Bayer, Sarah",2021,10
"Paukstadt, Ute",2021,14
"Klinker, Kai",2020,28
"Passlick, Jens",2021,7
"Tripathi, Nikhil",2021,11
"Bulawa, Nicole",2021,0
"Alt, Rainer",2021,6
"Frick, Nicholas R. J.",2021,19
"Wedel, Irina",2021,2
"Fromm, Jennifer",2021,7
"Gimpel, Henner",2020,6
"Blesik, Till",2021,0
"Stieglitz, Stefan",2020,6
"Drasch, Benedict J.",2020,11
"Alt, Rainer",2020,9
"Klumpe, Johannes",2020,0
"Reck, Martin",2020,2
"Wiesböck, Florian",2020,37
"Weking, Jörg",2020,17
"Hein, Andreas",2020,150
"Weeger, Andy",2020,15
"Kloker, Simon",2020,7
"Ostern, Nadine Kathrin",2020,7
"Schomakers, Eva-Maria",2020,19
"Albrecht, Simon",2020,19
"Betzing, Jan Hendrik",2020,0
"Riemensperger, Frank",2020,7
"Weking, Jörg",2020,55
"Kollmann, Tobias",2020,10
"Alt, Rainer",2020,2
"Bitomsky, Laura",2020,3
"Szopinski, Daniel",2020,29
"Bons, Roger W.H.",2020,10
"Hofmann, Peter",2020,68
"Alt, Rainer",2020,6
"Tönnissen, Stefan",2020,24
"Schmidt, Philipp",2020,47
"Alt, Rainer",2020,10
"Mirbabaie, Milad",2020,11
"Klumpe, Johannes",2020,12
"Hesse, Maik",2020,13
"Passlick, Jens",2020,8
"Heinrich, Bernd",2020,3
"Kühl, Niklas",2020,22
"Fischer, Marcus",2020,14
"Betzing, Jan Hendrik",2020,16
"Siegfried, Nils",2020,0
"Reimers, Kai",2019,6
"Abdelkafi, Nizar",2019,15
"Walsh, Gianfranco",2019,9
"Brunk, Jens",2020,7
"Heidt, Margareta",2019,25
"Otto, Boris",2019,61
"Martin, Nicholas",2019,17
"Schulz, Thomas",2020,13
"Janiesch, Christian",2019,3
"Pousttchi, Key",2019,14
"Loebbecke, Claudia",2020,1
"Grieger, Marcus",2019,20
"Alt, Rainer",2019,18
"Hein, Andreas",2019,28
"Dellermann, Dominik",2019,39
"Gahm, Christian",2020,1
"Trang, Simon",2019,42
"Grieger, Marcus",2019,1
"Menges, Raphael",2019,11
"Schröder, Tim",2019,2
"Wallbach, Sören",2019,12
"Löbbers, Julian",2019,7
"Koch, Jascha-Alexander",2019,30
"Hein, Andreas",2019,107
"Daiberl, Christofer F.",2019,11
"Alt, Rainer",2019,6
"Wirth, Jakob",2019,15
"Fürstenau, Daniel",2019,16
"Roeder, Jan",2020,1
"Harl, Maximilian",2020,21
"Alt, Rainer",2019,28
"Jung, Dominik",2018,66
"Pousttchi, Key",2018,43
"Leofante, Francesco",2019,14
"Gimpel, Henner",2018,15
"Beverungen, Daniel",2019,126
"Weidinger, Julian",2018,12
"Heinrich, Bernd",2018,3
